0,2,0
1,3,0
2,2,0
3,2,0
4,2,0
5,3,0
6,0,3
7,3,0
8,3,0
9,3,0
10,2,0
11,3,0
12,0,2
13,3,0
14,2,0
15,0,3
16,3,0
17,3,0
18,2,0
19,2,0
20,3,0
21,3,0
22,2,0
23,3,0
24,3,0
25,3,0
26,3,0
27,0,3
28,3,0
29,3,0
30,2,0
31,3,0
32,3,0
33,1,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,3,0
42,2,0
43,2,0
44,3,0
45,2,0
46,3,0
47,2,0
48,3,0
49,3,0
50,0,3
51,3,0
52,3,0
53,3,0
54,3,0
55,3,0
56,0,3
57,3,0
58,3,0
59,2,0
60,2,0
61,2,0
62,2,0
63,3,0
64,2,0
65,2,0
66,2,0
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0
72,3,0
73,3,0
74,0,2
75,0,3
76,0,2
77,0,3
78,3,0
79,2,0
80,2,0
81,2,0
82,3,0
83,0,2
84,0,1
85,2,0
86,2,0
87,3,0
88,2,0
89,3,0
90,2,0
91,3,0
92,0,2
93,3,0
94,0,1
95,1,0
96,2,0
97,3,0
98,2,0
99,3,0
